"Domain Name","Domain Type",Agency,City,State,"Is Live",SPF,DKIM
BRIDGEVIEW-IL.GOV,City,"Non-Federal Agency",Bridgeview,IL,true,false,false
BRIDGEWATERNJ.GOV,City,"Non-Federal Agency",Bridgewater,NJ,true,false,false
BRIGHTONCO.GOV,City,"Non-Federal Agency",Brighton,CO,true,true,false
BRIMFIELDOHIO.GOV,City,"Non-Federal Agency",Kent,OH,true,true,false
BRISTOLCT.GOV,City,"Non-Federal Agency",Bristol,CT,false,false,false
BRLA.GOV,City,"Non-Federal Agency","Baton Rouge",LA,true,false,false
BROADVIEW-IL.GOV,City,"Non-Federal Agency",Broadview,IL,true,false,false
BROCKTON-MA.GOV,City,"Non-Federal Agency",Brockton,MA,true,false,false
BROKENARROWOK.GOV,City,"Non-Federal Agency","Broken Arrow",OK,true,true,true
BROOKFIELD-WI.GOV,City,"Non-Federal Agency",Brookfield,WI,false,false,false
BROOKFIELDCT.GOV,City,"Non-Federal Agency",Brookfield,CT,true,true,false
BROOKFIELDIL.GOV,City,"Non-Federal Agency","Brookfield ",IL,true,true,false
BROOKHAVENGA.GOV,City,"Non-Federal Agency",Dunwoody,GA,true,true,false
BROOKHAVENNY.GOV,City,"Non-Federal Agency",Farmingville,NY,false,true,false
BROOKLINEMA.GOV,City,"Non-Federal Agency",Brookline,MA,true,true,false
BROOKLYNOHIO.GOV,City,"Non-Federal Agency",Brooklyn,OH,true,false,false
BROOKLYNWI.GOV,City,"Non-Federal Agency",Brooklyn,WI,true,false,false
BROWNSVILLETN.GOV,City,"Non-Federal Agency",Brownsville,TN,true,true,false
BROWNWOODTEXAS.GOV,City,"Non-Federal Agency",Brownwood,TX,false,false,false
BRUNSWICKMD.GOV,City,"Non-Federal Agency",Brunswick,MD,true,false,false
BRYANTX.GOV,City,"Non-Federal Agency",Bryan,TX,true,true,true
BRYCECANYONCITYUT.GOV,City,"Non-Federal Agency","Bryce Canyon City",UT,true,true,false
BRYSONCITYNC.GOV,City,"Non-Federal Agency","Bryson City",NC,true,false,false
BUCHANAN-VA.GOV,City,"Non-Federal Agency",BUCHANAN,VA,true,true,false
BUCKEYEAZ.GOV,City,"Non-Federal Agency",Buckeye,AZ,true,true,false
BUCKSPORTMAINE.GOV,City,"Non-Federal Agency",Bucksport,ME,true,true,false
BUENAVISTACO.GOV,City,"Non-Federal Agency","Buena Vista",CO,true,true,false
BUFFALONY.GOV,City,"Non-Federal Agency",Buffalo,NY,false,false,false
BULLHEADCITYAZ.GOV,City,"Non-Federal Agency","Bullhead City",AZ,true,false,false
BULVERDETX.GOV,City,"Non-Federal Agency",Bulverde,TX,true,true,false
BUNKERHILLTX.GOV,City,"Non-Federal Agency",HOUSTON,TX,true,true,false
BURBANKCA.GOV,City,"Non-Federal Agency",Burbank,CA,true,true,false
BURBANKIL.GOV,City,"Non-Federal Agency",Burbank,IL,true,true,false
BURIENWA.GOV,City,"Non-Federal Agency",Burien,WA,true,true,false
BURKITTSVILLE-MD.GOV,City,"Non-Federal Agency",Burkittsville,MD,true,true,false
BURLINGTON-WI.GOV,City,"Non-Federal Agency",Burlington,WI,true,true,false
BURLINGTONKANSAS.GOV,City,"Non-Federal Agency",Burlington,KS,true,true,false
BURLINGTONNC.GOV,City,"Non-Federal Agency",Burlington,NC,true,true,false
BURLINGTONND.GOV,City,"Non-Federal Agency",Burlington,ND,true,false,false
BURLINGTONVT.GOV,City,"Non-Federal Agency",Burlington,VT,true,false,false
BURLINGTONWA.GOV,City,"Non-Federal Agency",Burlington,WA,true,true,false
BURNSHARBOR-IN.GOV,City,"Non-Federal Agency","Burns Harbor",IN,true,true,false
BURNSVILLEMN.GOV,City,"Non-Federal Agency",Burnsville,MN,true,true,false
BURR-RIDGE.GOV,City,"Non-Federal Agency","Burr Ridge",IL,false,false,false
BURTONMI.GOV,City,"Non-Federal Agency",Burton,MI,true,false,false
BUTLERWI.GOV,City,"Non-Federal Agency",Butler,WI,true,false,false
BYESVILLEOH.GOV,City,"Non-Federal Agency",Byesville,OH,true,true,false
CABOTAR.GOV,City,"Non-Federal Agency",Cabot,AR,true,true,false
CABQ.GOV,City,"Non-Federal Agency",Albuquerque,NM,true,true,true
CALAISVERMONT.GOV,City,"Non-Federal Agency","East Calais",VT,true,false,false
CALDWELLTX.GOV,City,"Non-Federal Agency",Caldwell,TX,true,true,false
CALEDONIAMN.GOV,City,"Non-Federal Agency",Caledonia,MN,true,true,false
CALIFORNIACITY-CA.GOV,City,"Non-Federal Agency","California City",CA,true,false,false
CALUMETTWP-IN.GOV,City,"Non-Federal Agency",Gary,IN,true,true,false
CAMBRIDGEMA.GOV,City,"Non-Federal Agency",Cambridge,MA,true,true,false
CAMBRIDGENY.GOV,City,"Non-Federal Agency",Cambridge,NY,true,true,false
CAMDENMAINE.GOV,City,"Non-Federal Agency",Camden,ME,true,true,false
CAMDENTN.GOV,City,"Non-Federal Agency",Camden,TN,false,true,false
CAMPBELLCA.GOV,City,"Non-Federal Agency",Campbell,CA,true,true,false
CAMPBELLOHIO.GOV,City,"Non-Federal Agency",Campbell,OH,true,false,false
CANALWINCHESTEROHIO.GOV,City,"Non-Federal Agency","Canal Winchester",OH,true,false,false
CANANDAIGUANEWYORK.GOV,City,"Non-Federal Agency",Canandaigua,NY,true,false,false
CANNONFALLSMN.GOV,City,"Non-Federal Agency","Cannon Falls",MN,true,true,false
CANTONGA.GOV,City,"Non-Federal Agency",Canton,GA,true,false,false
CANTONOHIO.GOV,City,"Non-Federal Agency",Canton,OH,true,false,false
CANTONTWP-OH.GOV,City,"Non-Federal Agency",Canton,OH,false,false,false
CANTONTX.GOV,City,"Non-Federal Agency",Canton,TX,true,true,false
CAPECORALFL.GOV,City,"Non-Federal Agency","Cape Coral",FL,true,false,false
CARLISLEMA.GOV,City,"Non-Federal Agency",Carlisle,MA,true,true,false
CARLSBADCA.GOV,City,"Non-Federal Agency",Carlsbad,CA,true,true,false
CARNATIONWA.GOV,City,"Non-Federal Agency",Carnation,WA,true,true,false
CARNEGIEOK.GOV,City,"Non-Federal Agency",Carnegie,OK,true,false,false
CARNEYSPOINTNJ.GOV,City,"Non-Federal Agency","Carneys Point",NJ,true,true,false
CARRBORONC.GOV,City,"Non-Federal Agency",Carrboro,NC,true,false,false
CARROLLTON-GA.GOV,City,"Non-Federal Agency",Carrollton,GA,true,true,false
CARTERLAKE-IA.GOV,City,"Non-Federal Agency","Carter Lake",IA,true,true,false
CARTERSVILLEGA.GOV,City,"Non-Federal Agency",Cartersville,GA,false,true,false
CARTHAGEMO.GOV,City,"Non-Federal Agency",Carthage,MO,true,true,false
CARVERMA.GOV,City,"Non-Federal Agency",Carver,MA,true,true,false
CARYNC.GOV,City,"Non-Federal Agency",Cary,NC,true,false,false
CASAGRANDEAZ.GOV,City,"Non-Federal Agency","Casa Grande",AZ,true,true,false
CASPERWY.GOV,City,"Non-Federal Agency",Casper,WY,true,true,false
CASTROVILLETX.GOV,City,"Non-Federal Agency",Castroville,TX,true,false,false
CATHEDRALCITY.GOV,City,"Non-Federal Agency","Cathedral City",CA,true,true,false
